Month,Department,Budgeted Amount,Actual Spending,Variance
Aug,Sales,14015,16779,2764
Feb,Sales,18528,21033,2505
Jan,IT,8473,6978,-1495
Nov,Sales,16871,15673,-1198
Mar,Finance,8728,6852,-1876
Jul,Sales,9589,6598,-2991
Oct,IT,19977,18783,-1194
Jan,Sales,8951,6918,-2033
Jun,Marketing,7997,5296,-2701
Oct,Finance,18016,20684,2668
Jun,IT,13622,12931,-691
Sep,IT,15574,17003,1429
Nov,IT,16922,18991,2069
Dec,IT,9290,11940,2650
Aug,Operations,6480,8067,1587
Feb,Operations,14749,12005,-2744
Jul,Marketing,16391,15765,-626
Feb,HR,12465,11418,-1047
May,Marketing,13564,13160,-404
May,HR,8559,10094,1535
Oct,Marketing,18019,20682,2663
Apr,Sales,5919,4509,-1410
Sep,HR,16053,14738,-1315
Aug,Sales,16219,16459,240
Jul,Finance,7122,4992,-2130
Dec,IT,11195,13022,1827
Sep,Marketing,19729,21543,1814
Dec,HR,17951,19665,1714
Jul,HR,13460,11468,-1992
May,HR,5761,6428,667
Oct,Sales,8175,9908,1733
Sep,Operations,11361,8574,-2787
Nov,Sales,11052,13382,2330
Aug,Operations,16760,18356,1596
Jan,Finance,10984,13065,2081
Jun,Sales,6235,4104,-2131
Apr,Sales,13000,14076,1076
Dec,HR,14581,16402,1821
Sep,Operations,10330,8174,-2156
Nov,IT,18242,16584,-1658
Sep,IT,14458,12701,-1757
Jun,Marketing,7350,5681,-1669
Oct,Finance,7301,5043,-2258
Feb,Operations,8439,9661,1222
Jan,Sales,19546,22482,2936
Nov,Sales,9972,7615,-2357
Jun,HR,17064,18957,1893
Sep,HR,19172,17119,-2053
Feb,IT,8998,6754,-2244
Jan,Sales,19231,20108,877
Aug,HR,8558,9513,955
Jan,Sales,17548,20087,2539
Mar,IT,14168,13346,-822
Jan,Operations,13675,15974,2299
Sep,Finance,9803,8366,-1437
Feb,Sales,10102,11448,1346
Mar,Operations,16184,17485,1301
Sep,Operations,5825,7924,2099
Dec,Marketing,14137,14073,-64
Jan,Finance,16803,19409,2606
Nov,Marketing,7982,10070,2088
Jul,Finance,7815,10579,2764
Aug,Marketing,16579,17721,1142
Sep,Marketing,18500,16465,-2035
Mar,Finance,13886,11194,-2692
Dec,Sales,17800,18382,582
Oct,Finance,16275,13357,-2918
Jul,Operations,19054,19446,392
Jun,Sales,5507,6134,627
Dec,Finance,8603,6321,-2282
Jun,Finance,5284,6223,939
Feb,Marketing,17746,19267,1521
Feb,IT,11263,13711,2448
Jun,Finance,17291,14382,-2909
Apr,Finance,5900,3904,-1996
Nov,Sales,14617,17297,2680
Jan,Finance,17182,14690,-2492
Jun,Finance,12887,12360,-527
Jun,HR,16327,19123,2796
Sep,Operations,17142,15793,-1349
Jun,Operations,16166,16638,472
Aug,IT,14314,13307,-1007
Jul,Marketing,5607,5060,-547
Jul,Marketing,19650,20678,1028
Mar,HR,15056,13265,-1791
Feb,Marketing,19018,17905,-1113
Jul,Operations,7887,6532,-1355
Jan,Sales,15314,14222,-1092
Oct,IT,11925,12278,353
Jan,Operations,15042,17759,2717
Sep,HR,12411,10092,-2319
Mar,Operations,8773,7203,-1570
Mar,IT,7369,8378,1009
Nov,IT,13955,13842,-113
Jul,IT,18322,17190,-1132
Aug,HR,9707,11308,1601
Jan,Finance,16669,18464,1795
Aug,Operations,17916,20191,2275
Jun,HR,11031,9606,-1425
Jan,HR,12138,11477,-661
Jan,IT,8706,9835,1129
Jan,Marketing,19879,22840,2961
Nov,Finance,9848,8589,-1259
Nov,Operations,17899,20344,2445
Jun,HR,14811,16226,1415
Dec,HR,17908,19406,1498
May,IT,10035,11020,985
Sep,Operations,7449,9540,2091
Dec,IT,10162,7781,-2381
Feb,Finance,18748,19271,523
Nov,Finance,13712,15749,2037
Nov,Operations,9862,10169,307
Sep,Finance,7238,10094,2856
Mar,Marketing,18668,16541,-2127
Mar,Finance,11270,9820,-1450
Jun,HR,17717,16242,-1475
Aug,Operations,9273,9825,552
Mar,Operations,18125,16349,-1776
Jan,HR,14428,12127,-2301
Feb,Operations,19557,20091,534
Nov,Marketing,15115,15042,-73
Oct,Marketing,17093,16176,-917
Apr,HR,17997,15762,-2235
Nov,Operations,7589,7313,-276
Sep,Finance,10861,10630,-231
Sep,Marketing,14027,12003,-2024
Nov,HR,15422,13360,-2062
Dec,IT,10875,8319,-2556
Oct,Sales,10412,9942,-470
Dec,IT,17746,18578,832
Sep,IT,14565,13898,-667
Nov,HR,7486,5822,-1664
Sep,HR,9443,12270,2827
Apr,Marketing,12889,12986,97
May,Finance,10867,9488,-1379
Oct,IT,5531,5721,190
Aug,Sales,14955,14426,-529
May,HR,9186,11488,2302
Mar,HR,16040,17378,1338
Jan,IT,17866,15811,-2055
Jun,HR,16382,18484,2102
Nov,HR,15322,12337,-2985
Aug,HR,12295,10806,-1489
Apr,Operations,17653,15003,-2650
Apr,Finance,5516,4278,-1238
Mar,HR,5476,5148,-328
Sep,Sales,7727,5699,-2028
Feb,Marketing,15818,16124,306
May,Operations,12761,14954,2193
Jan,Operations,7201,5010,-2191
Jan,Finance,6776,6323,-453
Feb,Operations,10107,8183,-1924
Jul,Marketing,11942,14224,2282
Apr,Finance,15456,15804,348
Oct,Sales,15934,14218,-1716
Jan,Finance,5742,8471,2729
Aug,IT,18334,17803,-531
Oct,Finance,15830,12948,-2882
Dec,HR,15537,16332,795
Aug,Finance,15375,17377,2002
Sep,Marketing,10150,9821,-329
Apr,Sales,8263,10775,2512
Sep,HR,12944,10158,-2786
Dec,Sales,7477,4739,-2738
Sep,Sales,18915,16930,-1985
Dec,IT,16715,18838,2123
Jan,Sales,11995,11612,-383
Feb,HR,7661,8794,1133
Nov,Finance,11055,11529,474
Aug,Sales,9038,9127,89
Jan,HR,8454,10025,1571
Apr,Sales,9328,11113,1785
Apr,Marketing,14824,13719,-1105
May,Operations,9019,6066,-2953
Oct,Operations,9055,11446,2391
Oct,Operations,8058,10653,2595
Jul,HR,9022,7473,-1549
Aug,Sales,5005,3540,-1465
May,IT,19638,18799,-839
Aug,Marketing,18221,16636,-1585
Nov,Marketing,13120,12626,-494
Jul,Operations,13348,12775,-573
Mar,IT,6486,9324,2838
Mar,Finance,9175,7634,-1541
Feb,Marketing,13998,13288,-710
May,IT,17583,14620,-2963
Apr,Finance,12120,11021,-1099
Feb,HR,14634,13026,-1608
Oct,Marketing,15139,17260,2121
Apr,Marketing,14991,15333,342
Jul,HR,14347,13716,-631
Dec,Sales,5361,5637,276
Feb,Marketing,5074,2686,-2388
Mar,HR,9395,11400,2005
Sep,Finance,8147,6165,-1982
Dec,Finance,12529,14558,2029
Sep,IT,7778,8684,906
Jun,HR,17572,19268,1696
Dec,Marketing,15746,16050,304
Feb,Sales,6743,5875,-868
Oct,IT,12942,13298,356
May,IT,16035,13163,-2872
Sep,Marketing,11252,8893,-2359
Feb,Marketing,12112,10933,-1179
Nov,IT,10840,13536,2696
Apr,HR,17749,18089,340
Aug,HR,5274,7096,1822
May,Finance,9242,10931,1689
Feb,Sales,14046,13742,-304
Jun,IT,11122,13441,2319
May,IT,15774,18675,2901
Aug,HR,15825,15126,-699
Sep,Operations,17176,15293,-1883
Jun,Finance,13752,13744,-8
Apr,Finance,15603,14567,-1036
Nov,Finance,12475,11252,-1223
Mar,HR,15309,14481,-828
Mar,Marketing,14370,11628,-2742
Sep,Finance,11156,8922,-2234
Jun,IT,9973,12184,2211
Aug,Sales,19626,19399,-227
Jul,Sales,16399,14811,-1588
Feb,Marketing,9679,10137,458
Dec,Marketing,12769,15484,2715
Mar,Finance,14935,15488,553
Sep,IT,5224,6599,1375
Jun,Operations,14543,13955,-588
Nov,Finance,9713,10826,1113
Oct,Marketing,8350,8473,123
Apr,HR,9815,11741,1926
Dec,IT,6298,7786,1488
Jun,Operations,6385,4151,-2234
Sep,HR,14267,14987,720
Sep,Finance,15913,18020,2107
Jun,Sales,12888,14443,1555
Jun,Marketing,11181,14089,2908
Jul,Marketing,9096,6500,-2596
Dec,HR,7444,5696,-1748
Dec,HR,10231,9371,-860
Dec,Finance,18941,20650,1709
May,HR,17628,19269,1641
Oct,Finance,9398,6568,-2830
Jun,Operations,10459,8020,-2439
Sep,Sales,5072,7226,2154
Feb,HR,16986,16008,-978
Jan,Finance,9677,7749,-1928
Feb,IT,16878,18642,1764
Mar,Finance,9405,10511,1106
Mar,Sales,14844,16039,1195
Aug,Marketing,10582,13521,2939
Nov,Sales,13256,13962,706
Mar,Sales,19949,18487,-1462
Dec,Sales,10421,11308,887
May,IT,8395,7773,-622
Aug,Operations,5053,6604,1551
Nov,Marketing,5412,8026,2614
Nov,Finance,12185,11332,-853
Jun,Finance,9561,7678,-1883
Jul,Sales,13799,15027,1228
Nov,IT,14393,12925,-1468
Mar,Marketing,6256,3377,-2879
Jul,Operations,16619,16638,19
Aug,HR,15022,17204,2182
Jul,IT,13331,12703,-628
Jun,HR,10840,11431,591
Oct,Sales,6294,7876,1582
Dec,Sales,6232,5361,-871
Apr,IT,5122,4642,-480
Aug,IT,10045,10339,294
Mar,Marketing,8938,8757,-181
May,Finance,15593,18555,2962
Apr,Marketing,12033,9288,-2745
Apr,Operations,8933,8373,-560
Aug,IT,18227,15953,-2274
Jan,Marketing,8274,8021,-253
Apr,HR,10387,12036,1649
Apr,Operations,15711,17484,1773
Aug,Sales,18498,20869,2371
Jul,Finance,13085,11187,-1898
Apr,Sales,17452,17548,96
Nov,Marketing,7867,7569,-298
Jan,Marketing,10002,9911,-91
Jan,Marketing,10095,10333,238
Apr,IT,12084,13864,1780
Jul,Sales,18465,17356,-1109
Jun,Operations,14365,11637,-2728
Jul,Marketing,5297,5459,162
Jan,Sales,13938,11887,-2051
Sep,Marketing,14367,15753,1386
Apr,IT,11334,11125,-209
Oct,HR,9722,11973,2251
May,Finance,13032,15189,2157
Nov,Marketing,19508,20652,1144
Feb,HR,17039,16742,-297
Oct,Sales,8203,8938,735
Aug,HR,8404,7818,-586
Apr,Sales,9258,9249,-9
Dec,IT,6609,7372,763
Mar,Finance,5969,6687,718
Dec,HR,6495,6161,-334
Sep,Sales,12476,14698,2222
Apr,Operations,13279,13782,503
Aug,Marketing,10508,8767,-1741
Apr,HR,6147,3167,-2980
Oct,Sales,13355,16246,2891
Feb,Sales,14818,16339,1521
Jun,Sales,15265,13873,-1392
Apr,Sales,10066,7427,-2639
Jul,Finance,8797,6474,-2323
Nov,Marketing,17952,17311,-641
Nov,Sales,8231,9373,1142
Sep,IT,18772,19531,759
Feb,Marketing,19757,22572,2815
Aug,Sales,14050,16288,2238
Jan,IT,17119,14170,-2949
Mar,Sales,14134,12555,-1579
May,Marketing,18541,18845,304
Jul,Sales,12958,13397,439
Jan,Operations,5830,4845,-985
Oct,Marketing,5877,4975,-902
Mar,Sales,9983,10621,638
Mar,Operations,6792,6536,-256
Mar,HR,7184,5477,-1707
Jan,IT,5365,3157,-2208
May,IT,5961,4820,-1141
Jun,HR,5768,8019,2251
May,HR,8873,6797,-2076
Mar,Operations,19656,19509,-147
Jun,Marketing,11701,11052,-649
May,HR,5101,6083,982
Jan,IT,18837,20815,1978
Sep,IT,17172,14458,-2714
Dec,IT,19337,16546,-2791
Nov,IT,9906,10623,717
Dec,Marketing,10287,13128,2841
Jul,IT,10442,9840,-602
Nov,HR,19112,18609,-503
Oct,Marketing,15795,18692,2897
May,IT,13279,14405,1126
Sep,HR,15253,16161,908
Jun,Marketing,12055,13571,1516
Jan,IT,6783,8392,1609
Nov,HR,19416,17827,-1589
Sep,IT,7881,6377,-1504
Feb,Operations,11797,14010,2213
Dec,IT,16899,14241,-2658
Apr,HR,12259,13288,1029
Sep,IT,14281,14121,-160
Dec,IT,16666,16596,-70
Mar,HR,15683,18103,2420
Oct,Operations,18068,17299,-769
Sep,Finance,15614,13612,-2002
Feb,Marketing,17220,14607,-2613
Oct,Operations,5225,3794,-1431
Nov,Sales,16351,16731,380
Sep,Finance,11270,13841,2571
Jul,HR,6203,7861,1658
Jul,IT,7840,10616,2776
Jul,Finance,6275,9218,2943
Jun,HR,17032,17688,656
Sep,HR,19877,21498,1621
Dec,Sales,10298,13166,2868
May,Marketing,19387,21657,2270
Mar,Marketing,18257,16669,-1588
Nov,IT,7500,9377,1877
Nov,Operations,7599,7450,-149
Nov,HR,7343,9775,2432
Mar,Finance,10563,7640,-2923
Aug,Sales,16529,15514,-1015
May,Operations,13446,13333,-113
Apr,Finance,14818,16862,2044
Jan,IT,7929,5046,-2883
Jan,Marketing,17389,15563,-1826
Oct,HR,9030,10285,1255
Jan,Marketing,10280,13055,2775
Jul,Marketing,19652,18958,-694
Jun,Finance,17551,18895,1344
Nov,IT,8373,8927,554
Nov,HR,17087,16229,-858
Mar,IT,10215,7803,-2412
Oct,HR,13830,15965,2135
Jun,Operations,7208,8299,1091
May,Finance,14550,17153,2603
Jan,Marketing,19378,16568,-2810
Apr,Operations,6524,5476,-1048
Jun,HR,12418,14651,2233
Oct,Sales,8455,9647,1192
Apr,Operations,6545,3747,-2798
Jan,Sales,19814,21172,1358
Dec,Marketing,17536,16122,-1414
Jul,Operations,13943,14614,671
Jan,IT,10097,7597,-2500
May,Operations,10581,11785,1204
Jul,Operations,9548,9157,-391
Aug,HR,11128,12440,1312
May,IT,15890,15471,-419
Aug,IT,9659,7896,-1763
Oct,IT,5151,6289,1138
Aug,Operations,5487,6034,547
Aug,Marketing,11081,8824,-2257
Nov,HR,6226,4856,-1370
Mar,Operations,9058,8297,-761
Jan,IT,6181,5816,-365
Feb,Marketing,19489,20882,1393
Dec,HR,7466,7451,-15
Dec,Operations,19442,22170,2728
Aug,IT,15726,14240,-1486
Jul,HR,6762,8728,1966
Oct,Operations,6173,5367,-806
Feb,Marketing,6447,5538,-909
Oct,Sales,16865,18414,1549
Dec,Operations,10062,8149,-1913
Jan,Finance,18025,20908,2883
Dec,Finance,17396,17762,366
Oct,Sales,8461,10817,2356
Aug,Operations,15263,17685,2422
Oct,IT,12517,11897,-620
Jan,HR,18597,18570,-27
May,Operations,9765,7299,-2466
Jan,Operations,15253,12729,-2524
Nov,Operations,17146,14855,-2291
Dec,Marketing,17115,18829,1714
Mar,IT,16107,13386,-2721
Sep,IT,16438,15719,-719
Feb,Marketing,19485,19397,-88
Dec,HR,19210,22072,2862
Nov,Marketing,9166,9575,409
Nov,Operations,9529,6746,-2783
Dec,IT,16750,14719,-2031
Jul,IT,11354,10856,-498
Jun,Sales,17824,14970,-2854
Mar,HR,16442,17393,951
Feb,Operations,11726,14493,2767
Feb,HR,8115,6687,-1428
Oct,HR,12755,14513,1758
Sep,HR,8627,8246,-381
Jun,IT,7288,8029,741
Feb,IT,18387,18686,299
Jul,Marketing,6625,6311,-314
Jan,Operations,8933,9336,403
Apr,HR,6880,7873,993
Oct,HR,11855,12855,1000
Apr,Operations,16712,18557,1845
Jun,IT,5819,8687,2868
Dec,Finance,13996,13530,-466
Mar,Operations,14230,12757,-1473
Jan,Operations,13383,13677,294
Sep,Operations,7420,10342,2922
Nov,HR,18749,21518,2769
Oct,Operations,5470,3661,-1809
Sep,Finance,14915,13092,-1823
May,Marketing,10083,9450,-633
Aug,Finance,15615,13890,-1725
Aug,Sales,15473,15200,-273
Mar,Operations,15503,13157,-2346
Aug,HR,7199,4537,-2662
May,IT,8276,5504,-2772
Jan,Sales,5407,4222,-1185
May,Sales,18012,17986,-26
Jan,IT,6362,5474,-888
Nov,Operations,14694,12709,-1985
Feb,HR,10357,8348,-2009
Mar,HR,14877,12306,-2571
May,HR,7274,9177,1903
Feb,Marketing,5588,3784,-1804
Mar,Finance,14902,14050,-852
Apr,IT,14574,17046,2472
May,IT,13789,11015,-2774
Nov,Operations,19130,19817,687
Jul,Marketing,9463,10747,1284
Jan,IT,5671,8217,2546
Aug,Marketing,18408,19747,1339
Feb,Marketing,9731,9672,-59
Mar,HR,17366,15145,-2221
Apr,Operations,11541,9782,-1759
Mar,Finance,7601,8673,1072
Aug,Sales,17693,17851,158
Jan,Sales,17801,16147,-1654
Jun,Sales,19861,20642,781
Mar,Finance,10980,10186,-794
Aug,IT,19916,17196,-2720
May,Sales,7262,10182,2920
May,IT,15602,17057,1455
Jun,Sales,16412,14107,-2305
Oct,Operations,7870,7231,-639
Jul,Finance,7186,5187,-1999
Jul,IT,12767,12836,69
Nov,HR,19916,18963,-953
Jan,IT,19799,19691,-108
Dec,IT,7983,6104,-1879
Sep,Sales,18388,19375,987
Oct,IT,7373,7866,493
Oct,IT,14282,12581,-1701
May,Marketing,16632,17737,1105
Nov,Operations,17868,18229,361
Jul,IT,7291,6218,-1073
Jan,Sales,16256,14303,-1953
Dec,Finance,10907,10627,-280
Mar,Sales,9686,11803,2117
Nov,IT,5429,2983,-2446
Apr,Sales,16876,16826,-50
Aug,Sales,19977,21382,1405
Feb,Sales,12702,14015,1313
Mar,Sales,18365,21319,2954
Mar,Sales,7002,4836,-2166
Jan,Operations,7635,7499,-136
Dec,Operations,16109,17517,1408
Feb,Marketing,9408,11783,2375
Feb,Operations,13102,13082,-20
Nov,Finance,13341,13281,-60
Oct,HR,5869,5578,-291
Mar,Marketing,5460,2537,-2923
Feb,Sales,14933,12013,-2920
Jun,IT,13477,11232,-2245
Feb,HR,13294,11558,-1736
May,Operations,13425,14121,696
Aug,Finance,18284,15897,-2387
Apr,Finance,18592,19802,1210
Sep,HR,13353,12774,-579
Mar,Marketing,12820,10176,-2644
Apr,HR,13034,14283,1249
Feb,Sales,16341,19286,2945
May,IT,11006,10860,-146
Sep,Finance,12278,12395,117
Aug,Sales,11601,14371,2770
May,Marketing,5719,6943,1224
Aug,Finance,9760,10764,1004
Oct,IT,19217,21496,2279
Sep,Operations,18051,17187,-864
Dec,Marketing,6953,8274,1321
Jun,Operations,7745,5771,-1974
Dec,Finance,8684,10852,2168
Jul,Operations,9252,11577,2325
Jun,Finance,10706,12100,1394
Dec,IT,12220,14042,1822
Nov,Marketing,19391,17433,-1958
Jun,Finance,13237,12316,-921
Nov,IT,11738,13511,1773
Aug,Sales,17805,16382,-1423
Nov,Operations,8917,9676,759
Oct,IT,10619,9155,-1464
Sep,IT,15578,12797,-2781
Aug,HR,12636,15386,2750
Jan,HR,13632,15190,1558
Jan,Finance,9878,9606,-272
Oct,HR,7431,8108,677
Jul,Sales,11767,10873,-894
Jan,HR,11622,9763,-1859
Sep,Operations,9558,12112,2554
Jul,Operations,16381,17193,812
Sep,Sales,12960,10033,-2927
Apr,Sales,15482,13451,-2031
Apr,Finance,15593,15819,226
Oct,Operations,17569,18537,968
Dec,Finance,18916,16633,-2283
Apr,Operations,6947,6044,-903
May,IT,19572,17482,-2090
Nov,Marketing,18488,16063,-2425
Jul,HR,18874,16491,-2383
Jan,Operations,7607,7662,55
Jul,HR,5545,7090,1545
Mar,Operations,14106,13939,-167
Jul,Sales,16911,17636,725
Sep,Operations,16650,18023,1373
Jan,HR,18096,16913,-1183
Nov,HR,18321,18101,-220
Dec,Sales,7264,8384,1120
Apr,IT,11740,12823,1083
Jan,IT,5332,3827,-1505
May,Finance,12150,13506,1356
Aug,IT,13984,12687,-1297
Sep,HR,14513,13101,-1412
Jul,HR,8057,10930,2873
Jun,Operations,8902,6170,-2732
Sep,HR,11058,10894,-164
Jun,HR,11359,8942,-2417
Mar,Marketing,5698,6975,1277
Apr,Sales,13214,15671,2457
Nov,HR,11864,14591,2727
Sep,Marketing,13565,16081,2516
Apr,Sales,7570,5446,-2124
May,Sales,14026,16565,2539
Jun,Operations,16273,15944,-329
Sep,Operations,14591,17401,2810
Mar,Operations,9312,8977,-335
Sep,Sales,16551,13932,-2619
Jan,Finance,14432,12611,-1821
Mar,Sales,12462,12481,19
Aug,Sales,8506,5861,-2645
Jul,Operations,6640,3788,-2852
Oct,Finance,14465,17107,2642
Jul,IT,17387,18872,1485
Aug,Sales,8758,8108,-650
Jan,IT,15429,16326,897
Nov,Sales,12555,13444,889
Jun,HR,7621,8095,474
Sep,Sales,7830,7245,-585
Sep,Finance,14766,17209,2443
Apr,HR,19453,20166,713
Aug,IT,6135,5942,-193
Feb,Marketing,7935,10904,2969
Aug,Sales,13549,12101,-1448
Mar,Sales,17555,17263,-292
Jan,Marketing,6119,4320,-1799
Jun,Operations,11145,13307,2162
Sep,HR,5430,6385,955
Jun,IT,9900,10204,304
Oct,Operations,12120,14790,2670
Jul,Marketing,15944,17851,1907
Apr,HR,11796,11759,-37
Jan,Marketing,6971,8909,1938
Oct,Marketing,9516,7834,-1682
May,Marketing,18374,16424,-1950
Aug,Marketing,14923,16651,1728
Feb,Operations,8777,6688,-2089
Mar,Operations,18090,15542,-2548
Apr,Operations,13647,16019,2372
Feb,Marketing,17649,20648,2999
May,Sales,8747,9952,1205
Apr,IT,6644,5344,-1300
Feb,Operations,11790,14250,2460
Jun,IT,13503,14849,1346
May,Sales,14934,13975,-959
Jun,Marketing,7993,8845,852
Dec,Operations,18129,20607,2478
Mar,Finance,14161,12937,-1224
Dec,Finance,6895,8253,1358
Nov,Marketing,6274,7531,1257
May,Finance,15113,15320,207
Dec,Sales,10935,8420,-2515
Jan,Finance,10861,7940,-2921
Jul,Operations,6982,6610,-372
Apr,Operations,19426,20612,1186
Jun,HR,12602,10213,-2389
Apr,Sales,13747,13700,-47
May,HR,11568,9560,-2008
Mar,Marketing,14525,13596,-929
Dec,HR,19096,16651,-2445
Sep,Operations,11165,10951,-214
Apr,Sales,18568,20905,2337
Mar,Sales,6593,7675,1082
May,Operations,11874,13525,1651
Sep,HR,6865,8969,2104
Jun,Operations,19217,20951,1734
Oct,HR,17827,20563,2736
Jan,Operations,18644,20439,1795
Nov,Operations,17894,19459,1565
Apr,Marketing,12393,14277,1884
Nov,Marketing,16370,15954,-416
Apr,Sales,12726,13137,411
Sep,Operations,14709,14268,-441
May,Finance,7298,8372,1074
Mar,Sales,17964,20625,2661
Sep,HR,5941,5953,12
Sep,IT,18133,17059,-1074
Sep,Finance,9173,10368,1195
Aug,Finance,5837,7806,1969
Nov,Operations,17571,18415,844
Nov,Sales,10455,9272,-1183
Jan,Finance,11099,9409,-1690
Mar,Sales,19428,22024,2596
Feb,Operations,14496,16549,2053
Jul,IT,6449,8129,1680
Nov,HR,10380,10239,-141
Jun,HR,14337,14067,-270
Nov,IT,5129,5139,10
Jul,HR,19660,20144,484
Oct,Finance,8907,6836,-2071
Feb,HR,18995,21705,2710
Jul,HR,7191,8572,1381
Jan,HR,10396,9685,-711
Sep,Sales,5545,5096,-449
Jan,IT,13379,10937,-2442
Apr,Marketing,19331,18526,-805
Aug,IT,6906,6285,-621
Jan,Sales,15646,12709,-2937
Jul,Finance,16986,17811,825
Apr,HR,7660,9964,2304
Oct,IT,15441,17331,1890
Feb,Finance,6323,8638,2315
Sep,IT,12766,11684,-1082
Feb,HR,10848,10657,-191
May,Sales,14328,11360,-2968
Aug,Marketing,18797,18489,-308
Jun,HR,12639,13349,710
Apr,Operations,7334,7446,112
Jan,Operations,13884,10939,-2945
Sep,Operations,17778,20045,2267
Feb,Marketing,19974,21620,1646
May,Operations,9719,8035,-1684
Mar,Sales,15637,14417,-1220
Apr,IT,13669,14801,1132
Apr,Finance,6484,7700,1216
Apr,IT,17627,18011,384
Mar,Operations,14018,11378,-2640
Jun,Marketing,16003,15292,-711
Jul,Sales,17165,16089,-1076
Mar,IT,8868,9843,975
Mar,HR,5324,7852,2528
Oct,Marketing,15415,17879,2464
Oct,Marketing,10587,8922,-1665
Jan,Sales,17176,19127,1951
Apr,Finance,18574,16970,-1604
Apr,HR,9882,9842,-40
Dec,Sales,10424,10168,-256
Jun,Operations,15171,15240,69
Feb,Sales,10302,11537,1235
Feb,Operations,8250,8152,-98
Nov,Marketing,17628,15612,-2016
May,Sales,10555,11229,674
May,Sales,10726,12594,1868
Oct,Finance,12935,15254,2319
Sep,Operations,14857,12020,-2837
May,Sales,10154,9712,-442
Oct,IT,15305,18138,2833
Sep,Sales,8647,6258,-2389
Nov,Sales,12611,10064,-2547
Aug,Marketing,13399,16066,2667
Dec,HR,14535,15798,1263
Oct,Sales,16481,15902,-579
Jul,HR,17046,16634,-412
Oct,IT,9850,7461,-2389
Oct,Finance,19588,21678,2090
Jan,IT,7599,5734,-1865
Jun,Operations,16264,16380,116
Jan,IT,11229,9358,-1871
May,Sales,6983,6754,-229
May,Operations,5812,6183,371
Dec,Sales,16311,17959,1648
Aug,Marketing,6902,8789,1887
Apr,Marketing,10044,8023,-2021
Feb,IT,10283,13069,2786
Oct,HR,17673,17441,-232
Dec,Marketing,14594,17095,2501
Oct,HR,8505,11049,2544
Mar,Sales,15935,14306,-1629
May,Operations,7533,4589,-2944
Aug,Marketing,19313,19848,535
May,HR,8959,9124,165
Jan,Operations,7981,7726,-255
Jan,Finance,7725,8142,417
Feb,Operations,13092,12541,-551
Apr,HR,12502,10615,-1887
Jun,IT,15814,18312,2498
Feb,HR,19039,21828,2789
Dec,Operations,17903,17132,-771
Nov,Operations,10958,9479,-1479
Nov,Operations,6534,9243,2709
Aug,Sales,9880,7948,-1932
Jul,IT,7329,9720,2391
Apr,Marketing,19030,18294,-736
Mar,IT,19482,18699,-783
Mar,Operations,5891,8020,2129
Aug,Finance,16706,18678,1972
Sep,Sales,18279,17681,-598
Aug,Operations,10588,9705,-883
Sep,Operations,18221,19756,1535
Sep,Finance,7417,7395,-22
May,IT,18280,20945,2665
Dec,Finance,19925,18933,-992
Apr,Operations,16680,16284,-396
Jun,Marketing,8155,10750,2595
Aug,Marketing,19200,16523,-2677
Jun,Finance,13778,14378,600
Jan,Operations,19051,19669,618
Nov,Sales,17868,19020,1152
Jul,Sales,7554,10233,2679
May,HR,11612,9578,-2034
Jan,IT,6550,9068,2518
Sep,Operations,15308,13901,-1407
Aug,Operations,11153,8890,-2263
Aug,Operations,7923,9692,1769
May,Marketing,8273,6232,-2041
Apr,Finance,12222,13578,1356
Jun,Operations,16694,18848,2154
Nov,Operations,16673,14145,-2528
May,HR,17256,17228,-28
Dec,IT,18929,19406,477
May,IT,7187,9496,2309
Aug,HR,19030,20792,1762
Sep,IT,17102,18031,929
Jan,Operations,5692,2723,-2969
Oct,Finance,13339,13131,-208
Feb,IT,7431,6362,-1069
Feb,Operations,17496,19886,2390
Dec,Marketing,11393,10253,-1140
Jan,Operations,12416,12662,246
Sep,HR,8342,9603,1261
Feb,Marketing,13451,10765,-2686
Feb,Finance,15873,18492,2619
Mar,Finance,11245,10806,-439
Feb,Sales,10486,12914,2428
Jan,Finance,13225,13220,-5
Apr,Sales,8361,10514,2153
Aug,Finance,14267,16679,2412
Jul,HR,6266,7334,1068
Jan,HR,14185,11649,-2536
Jul,Marketing,6230,3482,-2748
Jun,HR,8041,5562,-2479
Oct,Sales,13959,13589,-370
Aug,Operations,19083,19185,102
Nov,Sales,11910,14034,2124
May,Sales,18960,16143,-2817
Jul,Operations,17874,16341,-1533
Oct,Sales,10854,10098,-756
Oct,IT,14047,14177,130
Jan,Sales,7320,7703,383
Jul,Finance,9333,10759,1426
Aug,Marketing,7254,8306,1052
Nov,Operations,7851,5168,-2683
May,Marketing,16766,16818,52
Aug,Sales,9953,8887,-1066
Mar,IT,14215,13617,-598
Feb,Sales,11060,10559,-501
Nov,Operations,11640,9787,-1853
Feb,HR,13024,14558,1534
Sep,IT,6948,4317,-2631
Feb,Finance,9758,11905,2147
Feb,Marketing,5498,4118,-1380
Sep,IT,8355,10844,2489
May,HR,5447,2998,-2449
Aug,Finance,11222,9366,-1856
May,IT,14113,12603,-1510
Nov,Sales,15877,18856,2979
Mar,IT,5861,6704,843
Oct,Finance,6693,6083,-610
Dec,IT,17895,16976,-919
Aug,Finance,10541,13240,2699
Nov,HR,7053,6367,-686
Apr,HR,6568,4788,-1780
Sep,HR,9492,10622,1130
